pattern,prob_feature,occur_feature,log_occur_feature,prob_log_occur,constant,outsideSentence,new_outside,frequency,quote,dash,parenthesis,capital,avg_idf,stop_ratio,first_stop,last_stop,F1.1,F4.1
into this,11.4140710211,0.0120325996,9.4301214725,0.0001235407,1,0.1808373401,0.3993083949,15,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0085931849,1.0000000000,1,1,0.0000000000,0.0000000000
can only,19.1494543655,0.0170729278,12.5254387362,0.0001797531,1,0.0869340644,0.0853210244,18,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0058240730,1.0000000000,1,1,0.0000000000,0.0000000000
to tandoori,2.6558283355,0.0058041574,3.7829620327,0.0000495592,1,0.2004930448,0.4805929716,15,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0143516634,0.5000000000,1,0,0.0000000000,0.0000000000
was crowded,20.3882015420,0.0131305527,9.5341291998,0.0001019831,1,0.1173794349,0.4899938279,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0139598281,0.5000000000,1,0,0.0000000000,0.0000000000
well worth it,54.5156650501,0.0350621523,17.8817823640,0.0004057553,1,0.1953118312,0.4532836047,20,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0097303845,0.6666666667,1,1,0.0000000000,0.0000000000
i dont,27.2308938508,0.0197855879,13.6241928649,0.0001900126,1,0.0975927921,0.4648776324,17,0.0000000000,0.0000000000,0.0000000000,0.1052631579,0.0151749697,1.0000000000,1,1,0.0000000000,0.0000000000
the dining,7.0282688243,0.0163539998,13.0805979940,0.0002968117,1,0.3057144636,1.8483108543,45,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0218585652,0.5000000000,1,0,0.0000000000,0.0000000000
are great,7.6875109812,0.0155091246,12.4063845831,0.0002552661,1,0.1494231915,0.1621621622,37,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0101819612,0.5000000000,1,0,0.0000000000,0.0000000000
lamb tikka,28.4342723213,0.0213742758,14.5918291348,0.0002151462,1,0.0952380952,0.1197833013,19,0.0000000000,0.0000000000,0.0000000000,0.4285714286,0.0053288241,0.0000000000,0,0,0.0000000000,0.0000000000
and nothing,3.4681937842,0.0066327077,4.8165735197,0.0000631002,1,0.2430837275,0.6859512051,15,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0162817649,1.0000000000,1,1,0.0000000000,0.0000000000
don't go,20.5480035448,0.0195519332,14.1780188959,0.0002249438,1,0.0000000000,0.0000000000,22,0,0,0,0,0.0061511157,1.0000000000,1,1,0.0000000000,0.0000000000
i took my,31.2354370642,0.0229843560,13.3290784363,0.0002619293,1,0.1647156638,0.3786296942,15,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0156082102,1.0000000000,1,1,0.0000000000,0.0000000000
small for,6.1159523447,0.0090967359,7.2436019845,0.0000980080,1,0.1540327054,0.3521810488,16,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0107186763,0.5000000000,0,1,0.0000000000,0.0000000000
good choice,25.9588109394,0.0162303008,11.2808853169,0.0001321846,1,0.2591243084,0.4091483695,12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0072133178,0.5000000000,1,0,0.0000000000,0.0000000000
old town,199.3009067314,0.0410533107,16.7436776456,0.0001791010,1,0.0000000000,0.0000000000,10,0.0000000000,0.0000000000,0.0000000000,0.7500000000,0.0020229263,0.5000000000,1,0,0.0000000000,0.0000000000
a vegetable,4.6656993576,0.0079453296,6.1609509558,0.0000833594,1,0.2128183290,0.5480420667,16,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0147732063,0.5000000000,1,0,0.0000000000,0.0000000000
around for,5.0571804576,0.0068587365,5.3756156620,0.0000603075,1,0.2937824716,0.6233873095,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0105044188,1.0000000000,1,1,0.0000000000,0.0000000000
of its,4.5764541035,0.0078689737,6.0836979403,0.0000823142,1,0.2447898240,0.6168771697,16,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0127388916,1.0000000000,1,1,0.0000000000,0.0000000000
we also ordered,93.9794258798,0.0573139259,25.2947760084,0.0007145786,1,0.1474158057,0.2939409259,31,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0107805407,0.6666666667,1,0,0.0000000000,0.0000000000
get one,6.1933481694,0.0075901899,6.0477851762,0.0000678484,1,0.2727272727,0.2727272727,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0073215661,1.0000000000,1,1,0.0000000000,0.0000000000
very reasonable,98.1308903959,0.0597352446,30.0743947554,0.0006670805,1,0.0909017248,0.1416623387,43,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0063010452,0.5000000000,1,0,0.0000000000,0.0000000000
indian place,6.9537418284,0.0227480496,18.1920580796,0.0005772584,1,0.1415464180,0.1475545331,88,0.0000000000,0.0000000000,0.0000000000,0.0111111111,0.0134550522,0.0000000000,0,0,0.0000000000,0.0000000000
asking if,108.4421435241,0.0317606176,15.5424227832,0.0001743661,1,0.0483118494,0.0845554164,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0047143307,1.0000000000,1,1,0.0000000000,0.0000000000
to her,5.4544911361,0.0077435899,6.1165989936,0.0000745983,1,0.1946276617,0.2961305477,13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0134718095,1.0000000000,1,1,0.0000000000,0.0000000000
in the kitchen,35.2072116180,0.0308662844,17.4464952840,0.0004336628,1,0.2546971341,1.2861000754,24,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0203166326,0.6666666667,1,0,0.0000000000,0.0000000000
well spiced,123.4418734124,0.0353928409,16.6823179676,0.0001954763,1,0.0000000000,0.0000000000,12,0.0000000000,0.1666666667,0.0000000000,0.0000000000,0.0033190287,0.5000000000,1,0,0.0000000000,0.0000000000
pretty cool,155.5553801631,0.0362690406,15.9600210769,0.0001707185,1,0.1839819818,0.2453150508,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0027431532,0.0000000000,0,0,0.0000000000,0.0000000000
a cool,10.2534297787,0.0106169508,8.3923253606,0.0001023531,1,0.0913666723,0.3710254840,13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0141516471,0.5000000000,1,0,0.0000000000,0.0000000000
the curries,11.6154434561,0.0280321520,21.9343559299,0.0006636162,1,0.2984971736,1.4610281897,80,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0219338272,0.5000000000,1,0,0.0000000000,0.0000000000
i go there,8.7987146660,0.0099603026,6.8767068671,0.0001103364,1,0.3415467548,0.7440048048,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0154169054,1.0000000000,1,1,0.0000000000,0.0000000000
cream and,8.2355839702,0.0108809098,8.6934209108,0.0001212446,1,0.1431070111,0.6860528621,17,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0158224071,0.5000000000,0,1,0.0000000000,0.0000000000
no buffet,5.1119475409,0.0065748635,5.1595104239,0.0000551894,1,0.2065083529,0.2202022957,10,0.0000000000,0.0000000000,0.0000000000,0.0833333333,0.0079334266,0.5000000000,1,0,0.0000000000,0.0000000000
blown away,2856.3574879227,0.2197934911,35.5861385545,0.0005383230,1,0.0000000000,0.0000000000,20,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0014698940,0.5000000000,0,1,62.0102818170,0.0051725208
enjoyed my,12.9475487915,0.0123808752,9.5820346766,0.0001212743,1,0.1565870458,0.2454921104,14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0083561237,0.5000000000,0,1,0.0000000000,0.0000000000
was extremely,37.1065268065,0.0419191739,27.0431496388,0.0006845393,1,0.2338849581,0.8703369289,56,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0143821913,0.5000000000,1,0,0.0000000000,0.0000000000
chicken tandoori,34.1050903895,0.0356229179,23.4117005208,0.0005252988,1,0.1996836474,0.2624135584,44,0.0000000000,0.0000000000,0.0000000000,0.2173913043,0.0077059453,0.0000000000,0,0,0.0000000000,0.0000000000
us our,7.2407159083,0.0085718572,6.8579515401,0.0000803586,1,0.3861236034,0.3951909399,12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0076178147,1.0000000000,1,1,0.0000000000,0.0000000000
bland and,9.0833646730,0.0138575651,11.0322234134,0.0001865865,1,0.1336643851,0.6966596454,25,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0159754418,0.5000000000,0,1,0.0000000000,0.0000000000
the buffet but,2.7626240130,0.0055811515,3.2134463403,0.0000515596,1,0.2822612729,0.9804644983,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0223060516,0.6666666667,1,1,0.0000000000,0.0000000000
onto the,15.4008335109,0.0119691140,9.0690505721,0.0001017432,1,0.2602813508,1.8038291844,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0210168674,1.0000000000,1,1,0.0000000000,0.0000000000
that some,1.9069886770,0.0042117632,2.1409655079,0.0000240189,1,0.2207729551,0.2500000000,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0114051292,1.0000000000,1,1,0.0000000000,0.0000000000
on our,15.8911146548,0.0329923491,24.8918411365,0.0007577861,1,0.1874273973,0.2059814387,81,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0107141639,1.0000000000,1,1,0.0000000000,0.0000000000
but their,2.6327723453,0.0061521181,3.9913205102,0.0000556658,1,0.1374859830,0.0607733098,17,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0114570760,1.0000000000,1,1,0.0000000000,0.0000000000
or the,1.3037742655,0.0069649995,1.7595579337,0.0000394800,1,0.4169922397,1.7026561939,44,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0243135055,1.0000000000,1,1,0.0000000000,0.0000000000
you should,37.4477247512,0.0303043704,19.5101610486,0.0003553914,1,0.2755338144,0.6867686982,29,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0080228161,1.0000000000,1,1,0.0000000000,0.0000000000
flavours and,17.4400601721,0.0121441616,9.0402240914,0.0000967000,1,0.1987929872,0.6908259863,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0154320155,0.5000000000,0,1,0.0000000000,0.0000000000
an old,58.5455355596,0.0243742389,14.0982175094,0.0001651969,1,0.0617107753,0.0136009491,12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0042618079,1.0000000000,1,1,0.0000000000,0.0000000000
ingredients and,9.5920330947,0.0094459409,7.4986659992,0.0000841255,1,0.1607476450,0.8881376409,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0155890739,0.5000000000,0,1,0.0000000000,0.0000000000
the various,6.7589864938,0.0075602183,6.0427108471,0.0000646367,1,0.2632803684,1.8736600859,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0211606106,1.0000000000,1,1,0.0000000000,0.0000000000
told me,171.5164593897,0.0860065523,36.7403585454,0.0008875147,1,0.1866198481,0.3047078513,51,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0048155795,0.5000000000,0,1,0.1886267271,-0.0016484624
been eating,27.4811645825,0.0159884903,10.9896390478,0.0001232897,1,0.0582190902,0.0646859275,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0047260417,0.5000000000,1,0,0.0000000000,0.0000000000
will take,18.1372720440,0.0123845301,9.1641827864,0.0000980259,1,0.1314739942,0.1310527685,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0050474629,1.0000000000,1,1,0.0000000000,0.0000000000
quiet and,10.3166553131,0.0102318375,8.0843804342,0.0000947293,1,0.1770654304,0.6511251999,12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0155932813,0.5000000000,0,1,0.0000000000,0.0000000000
great but,2.4897131486,0.0071084322,4.4686898820,0.0000740513,1,0.1031936414,0.1336471478,24,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0124410236,0.5000000000,0,1,0.0000000000,0.0000000000
never went,21.9985489722,0.0136392524,9.7745259194,0.0001045545,1,0.0694271904,0.0543584245,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0045036153,1.0000000000,1,1,0.0000000000,0.0000000000
she had,17.6758934243,0.0189404310,14.0708574901,0.0002331703,1,0.4212726718,0.5244420826,24,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0084671337,1.0000000000,1,1,0.0000000000,0.0000000000
san francisco,43797.4814814815,0.8164965809,45.3425078587,0.0006507121,1,0.0000000000,0.0000000000,18,0.0000000000,0.0000000000,0.0000000000,0.8947368421,0.0002746127,0.0000000000,0,0,10000000000.0000000000,10000000000.0000000000
their tandoori,21.6992283908,0.0171346677,12.3091068075,0.0001665458,1,0.1102129865,0.0882758358,16,0.0000000000,0.0000000000,0.0000000000,0.0666666667,0.0058378916,0.5000000000,1,0,0.0000000000,0.0000000000
places i've,51.1278052453,0.0271110654,16.2216519020,0.0002262386,1,0.0000000000,0.0000000000,17,0,0,0,0,0.0042915100,0.5000000000,0,1,0.0000000000,0.0000000000
chai was,6.3106338106,0.0073051652,5.8256621173,0.0000623150,1,0.1140397413,0.4357251032,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0144271504,0.5000000000,0,1,0.0000000000,0.0000000000
indian music,40.3744318266,0.0280227453,17.7359283566,0.0002877166,1,0.1972895410,0.3653340012,23,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0083371326,0.0000000000,0,0,0.0000000000,0.0000000000
in the restaurant,16.3269147322,0.0321076850,20.8995134247,0.0007935395,1,0.3268219144,0.9774997312,56,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0226738593,0.6666666667,1,0,0.0000000000,0.0000000000
have come,10.2559352037,0.0128368357,10.1468915972,0.0001496087,1,0.1560971695,0.2010978241,19,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0084141934,1.0000000000,1,1,0.0000000000,0.0000000000
so we could,58.6547550813,0.0314963451,15.7695048625,0.0003098861,1,0.3693544446,0.6595992826,15,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0117659357,1.0000000000,1,1,0.0000000000,0.0000000000
indian food in town,22.4737842358,0.0230680385,11.6453454401,0.0002947769,1,0.1105244894,0.1390359630,14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0133126118,0.2500000000,0,0,0.0000000000,0.0000000000
small portions,151.6318242846,0.0466888514,20.7039909009,0.0002887524,1,0.0000000000,0.0000000000,17,0.0000000000,0.0000000000,0.0555555556,0.0000000000,0.0027119421,0.0000000000,0,0,0.0000000000,0.0000000000
wrong with,55.8625170863,0.0382679014,22.3985237336,0.0004218396,1,0.0832406011,0.1463324000,31,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0081597237,0.5000000000,0,1,0.0000000000,0.0000000000
didn't eat,26.7048164475,0.0150275557,10.3875886100,0.0001111122,1,0.0000000000,0.0000000000,10,0,0,0,0,0.0042232027,0.5000000000,1,0,0.0000000000,0.0000000000
great place,17.0844354242,0.0380096495,28.3816783990,0.0009600308,1,0.1153498510,0.1338600948,100,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0106699689,0.0000000000,0,0,0.0000000000,0.0000000000
is there,0.7826553232,0.0026982064,-0.8127816237,-0.0000091184,1,0.2059081572,0.1776014996,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0151322041,1.0000000000,1,1,0.0000000000,0.0000000000
an issue,188.6467256920,0.0399409311,16.5699431006,0.0001772426,1,0.0000000000,0.0000000000,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0037558385,0.5000000000,1,0,0.0000000000,0.0000000000
but no,6.2943506328,0.0117640182,9.3804240271,0.0001617917,1,0.0206623077,0.0250299599,26,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0103482390,1.0000000000,1,1,0.0000000000,0.0000000000
i'm always,23.2818554103,0.0159983067,11.3491011572,0.0001384141,1,0.0000000000,0.0000000000,13,0,0,0,0,0.0049280461,1.0000000000,1,1,0.0000000000,0.0000000000
a point,6.6252930878,0.0081994877,6.5502510745,0.0000767531,1,0.2050793871,0.6355847708,12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0143192192,0.5000000000,1,0,0.0000000000,0.0000000000
i'm glad,260.7567805954,0.0771601808,28.9092517730,0.0005081195,1,0.0000000000,0.0000000000,27,0,0,0,0,0.0032464417,0.5000000000,1,0,0.0000000000,0.0000000000
between the,8.9699769910,0.0143110367,11.3997510421,0.0002003661,1,0.2442517380,1.3713327355,27,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0213994727,1.0000000000,1,1,0.0000000000,0.0000000000
to review,3.8407363621,0.0056990281,4.2553635505,0.0000455181,1,0.0451451649,0.0923164358,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0134963871,0.5000000000,1,0,0.0000000000,0.0000000000
we did,29.2802747726,0.0456058722,30.9499287131,0.0009595031,1,0.3471425015,0.7895217107,84,0.0000000000,0.0000000000,0.0112359551,0.0000000000,0.0116005082,1.0000000000,1,1,0.0000000000,0.0000000000
came for,2.6521133147,0.0049669059,3.2348925404,0.0000362914,1,0.0998104123,0.1468483245,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0113507964,1.0000000000,1,1,0.0000000000,0.0000000000
quite nice,32.1882519462,0.0195211889,12.9895435445,0.0001644012,1,0.0441022897,0.0431495431,14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0046300649,0.5000000000,1,0,0.0000000000,0.0000000000
i was,7.9754818683,0.0848706721,67.8563983401,0.0075010752,1,0.5320610898,0.7928662772,1068,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0285733010,1.0000000000,1,1,0.0000000000,0.0000000000
to work,16.9828478596,0.0189482372,14.1610194265,0.0002395034,1,0.2210114835,0.7387161121,25,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0131182081,1.0000000000,1,1,0.0000000000,0.0000000000
the local,6.3229228491,0.0073122746,5.8318142034,0.0000623808,1,0.1853190064,1.2800930696,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0211752179,0.5000000000,1,0,0.0000000000,0.0000000000
getting a,9.2623340865,0.0115392672,9.1778520279,0.0001280008,1,0.2281695589,0.6881669006,17,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0143271942,1.0000000000,1,1,0.0000000000,0.0000000000
not here,1.8344068007,0.0041308338,2.0122664397,0.0000225751,1,0.1220757267,0.1065459021,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0109035182,1.0000000000,1,1,0.0000000000,0.0000000000
noticed the,7.3859069802,0.0090108787,7.2095655848,0.0000879281,1,0.2811072728,1.6664807352,13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0212069738,0.5000000000,0,1,0.0000000000,0.0000000000
place if you,5.1688415489,0.0090328239,6.1462282368,0.0001166839,1,0.0714285714,0.0714285714,14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0114249300,0.6666666667,0,1,0.0000000000,0.0000000000
bad for,7.8918871453,0.0112605806,9.0047672551,0.0001327689,1,0.1438835501,0.2342410705,19,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0106273716,0.5000000000,0,1,0.0000000000,0.0000000000
tikka was,2.6595327895,0.0070340842,4.5879323534,0.0000727906,1,0.3498974044,0.7956880534,22,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0162625445,0.5000000000,0,1,0.0000000000,0.0000000000
great quality,15.8696262327,0.0137069528,10.3434638059,0.0001309113,1,0.0873548869,0.1622859427,14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0065090921,0.0000000000,0,0,0.0000000000,0.0000000000
can order,32.6342542709,0.0251938369,16.7152112577,0.0002711583,1,0.0927587879,0.0841003592,23,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0053095785,0.5000000000,1,0,0.0000000000,0.0000000000
i don't think,48.1332964595,0.0505050318,26.5586288521,0.0009238318,1,0.0000000000,0.0000000000,47,0,0,0,0,0.0129044701,1.0000000000,1,1,0.0000000000,0.0000000000
they serve,121.4901193539,0.0841954406,39.8704068149,0.0011202690,1,0.0722416163,0.1550627176,69,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0074294536,0.5000000000,1,0,0.0000000000,0.0000000000
and as,0.8179963029,0.0050590629,-1.2220115548,-0.0000251434,1,0.3227967975,0.5651868662,37,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0211740728,1.0000000000,1,1,0.0000000000,0.0000000000
and an,1.8404083599,0.0080849119,3.9531706982,0.0000866597,1,0.2777181607,0.6802479676,42,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0187380353,1.0000000000,1,1,0.0000000000,0.0000000000
dish with,6.8499444185,0.0110292688,8.8179779214,0.0001366865,1,0.0650913902,0.1594923090,21,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0099578093,0.5000000000,0,1,0.0000000000,0.0000000000
i am a,7.1574516390,0.0218206727,15.1176777381,0.0005891820,1,0.3052254891,0.6519246972,59,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0203202272,1.0000000000,1,1,0.0000000000,0.0000000000
will never go back,481.6340494858,0.0856225963,21.3983951230,0.0005014746,1,0.0985305380,0.0934199817,12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0062123203,1.0000000000,1,1,0.7419358532,-0.0001237987
and am,1.3449537929,0.0038451998,1.0685399421,0.0000130320,1,0.1364354729,0.2729918341,13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0171656503,1.0000000000,1,1,0.0000000000,0.0000000000
there a,0.9569513367,0.0044070106,-0.2155685140,-0.0000035722,1,0.3036104134,0.5934523728,24,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0183247361,1.0000000000,1,1,0.0000000000,0.0000000000
have to admit,192.0828706438,0.0488094123,17.4385706919,0.0002934577,1,0.2004884421,0.5963859832,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0126873412,0.6666666667,1,0,0.0000000000,0.0000000000
to your,6.3713810571,0.0167383256,13.3536369026,0.0003257229,1,0.2367555175,0.3942814961,52,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0149481059,1.0000000000,1,1,0.0000000000,0.0000000000
if you're in,16.8356632737,0.0184847800,11.9790936480,0.0002578687,1,0.0000000000,0.0000000000,18,0,0,0,0,0.0094857806,1.0000000000,1,1,0.0000000000,0.0000000000
bread was,12.6626488266,0.0233690425,18.1296345767,0.0004379467,1,0.2677340720,0.7358783538,51,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0152161951,0.5000000000,0,1,0.0000000000,0.0000000000
included in,19.7676424569,0.0129291802,9.4363832093,0.0001009375,1,0.0766697772,0.1584316029,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0092701799,0.5000000000,0,1,0.0000000000,0.0000000000
don't like,29.2366316356,0.0326055436,22.1341250855,0.0004909572,1,0.0000000000,0.0000000000,43,0,0,0,0,0.0070791738,1.0000000000,1,1,0.0000000000,0.0000000000
can't say,135.2775907090,0.0512944523,23.5347226088,0.0003817861,1,0.0000000000,0.0000000000,23,0,0,0,0,0.0031432532,1.0000000000,1,1,0.0000000000,0.0000000000
make a,9.4183088012,0.0214928500,17.0795557449,0.0004399848,1,0.1883769002,0.5119617579,58,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0153939425,1.0000000000,1,1,0.0000000000,0.0000000000
can find,58.3349119098,0.0321860343,18.6336727103,0.0002888386,1,0.0290233056,0.0274833697,21,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0042771482,1.0000000000,1,1,0.0000000000,0.0000000000
and drinks,4.0966584297,0.0058858397,4.4593542244,0.0000477001,1,0.2414532206,0.7913412112,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0159004170,0.5000000000,1,0,0.0000000000,0.0000000000
said it,14.9365115698,0.0227567410,17.3128227415,0.0003749790,1,0.2349714665,0.4960552084,41,0.0000000000,0.0000000000,0.0000000000,0.0217391304,0.0120007083,1.0000000000,1,1,0.0000000000,0.0000000000
the tikka masala,2.3877088434,0.0117176006,6.2154298497,0.0002252136,1,0.2595846489,1.1029206339,51,0.0000000000,0.0000000000,0.0000000000,0.1400000000,0.0177410053,0.3333333333,1,0,0.0000000000,0.0000000000
a sunday,29.2886432233,0.0268004555,18.1867777120,0.0003312851,1,0.1999497640,0.6026347216,29,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0140606189,0.5000000000,1,0,0.0000000000,0.0000000000
a mango,10.9058322432,0.0242947784,19.1143817146,0.0005172462,1,0.2660887042,0.6603626375,64,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0153418900,0.5000000000,1,0,0.0000000000,0.0000000000
and rich,6.9941907982,0.0080660076,6.4511002770,0.0000723731,1,0.2127817526,0.6469519037,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0156938690,0.5000000000,1,0,0.0000000000,0.0000000000
i had a,9.9941048490,0.0369255994,25.3219494446,0.0014132799,1,0.4035632628,0.6996838575,121,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0235706379,1.0000000000,1,1,0.0000000000,0.0000000000
i arrived,10.3578651404,0.0144988747,11.4525704219,0.0001897823,1,0.2106606814,0.7106852239,24,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0157167068,0.5000000000,1,0,0.0000000000,0.0000000000
our plates,50.7306735307,0.0245071541,14.6917327038,0.0001859448,1,0.2087872023,0.3024974764,14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0052233620,0.5000000000,1,0,0.0000000000,0.0000000000
regret it,66.3668965827,0.0236902315,13.2663821383,0.0001419056,1,0.0392619667,0.0986779545,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0106138369,0.5000000000,0,1,0.0000000000,0.0000000000
good indian food in,12.9226914633,0.0134280209,8.4871924067,0.0001904309,1,0.1534666602,0.1946326955,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0159591864,0.5000000000,1,1,0.0000000000,0.0000000000
in our,6.6362799677,0.0188029579,15.0216623186,0.0004033066,1,0.1782255679,0.2221354846,63,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0132362874,1.0000000000,1,1,0.0000000000,0.0000000000
dishes are,28.5306548928,0.0433807165,29.5950462514,0.0008841245,1,0.1616551271,0.2002043534,78,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0087329123,0.5000000000,0,1,0.0000000000,0.0000000000
and lamb,4.8100498921,0.0169940744,13.2350162795,0.0003772252,1,0.2809376874,0.7136026848,71,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0179765064,0.5000000000,1,0,0.0000000000,0.0000000000
you ask,34.1153354519,0.0273876675,17.9982488473,0.0003104302,1,0.1956409420,0.3440549108,26,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0080067736,1.0000000000,1,1,0.0000000000,0.0000000000
few different,48.6524014168,0.0212736511,12.8840961986,0.0001445431,1,0.0637331653,0.0473300861,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0035044936,1.0000000000,1,1,0.0000000000,0.0000000000
worth going,66.5300657125,0.0237193359,13.2741473475,0.0001419887,1,0.0000000000,0.0000000000,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0029960111,0.5000000000,0,1,0.0000000000,0.0000000000
friday evening,1092.7295026882,0.1008198916,23.2045463689,0.0002603254,1,0.0000000000,0.0000000000,11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010386070,0.0000000000,0,0,2.0033163040,0.0001877856
